architecture,noise_type,dominance_ratio,effect_size,p_value,greedy_mean,competitor_mean,competitor_name,significant,greedylr_wins
neural_deep_transformer,random_spike,0.7031114124774476,-0.3614192185560114,0.17234543181316048,0.3324873191614946,0.23377562860647838,cosine_restarts,False,False
rastrigin,burst,0.9723139983721542,-0.06334461340260768,0.847640443171567,10.778712209065755,10.48029276529948,cosine_restarts,False,False
rastrigin,plateau,0.9028582966336487,-0.27404209145300257,0.40664867720200604,11.607843526204427,10.480237833658855,cosine,False,False
rastrigin,none,0.8915667442441371,-0.29708172459606236,0.3483690654710643,11.010870615641275,9.816926066080729,cosine,False,False
rastrigin,drift,0.9761151571374409,-0.049090970770273135,0.8815739285297238,9.71742426554362,9.485325113932292,cosine_restarts,False,False
rastrigin,periodic_spike,1.0370449596397722,0.08154874366395351,0.8063915167834643,8.9546267191569,9.286350504557292,cosine_restarts,False,False
rastrigin,adversarial,0.8965519839945751,-0.2392401812414133,0.46086422306850416,11.541522471110026,10.347574869791666,cosine,False,False
rastrigin,gaussian,0.9477213784507346,-0.11291348160415196,0.7313246201758654,10.148573557535807,9.61802012125651,cosine_restarts,False,False
rastrigin,random_spike,1.028392028550518,0.06651442065288926,0.8271689749729292,10.51339111328125,10.811887613932292,cosine,False,False
rastrigin,oscillatory,0.9022998707535708,-0.2521868221572385,0.3901430997711631,11.541512044270833,10.413904825846354,cosine,False,False
neural_resnet,none,1.0499088968043755,0.02689603551885599,0.9238758803503899,0.00031614824281274895,0.00033192685283817505,cosine,False,False
neural_resnet,plateau,0.04916043194954848,-0.26265923307582706,0.3174536108899783,0.006888844108917406,0.0003386585520274821,cosine,False,False
neural_resnet,gaussian,0.19120007924114074,-0.4358527150564998,0.10315213473277271,0.0010431660139375984,0.00019945342452653373,cosine,False,False
neural_resnet,oscillatory,0.06379518562118192,-0.3621100637582842,0.1715123297134626,0.008113885233317457,0.0005176268145684541,cosine,False,False
neural_resnet,adversarial,1.6761502021766999,0.1964358255459764,0.5697744738399049,0.00040662894414656613,0.0006815711869421648,cosine,False,False
neural_resnet,random_spike,0.7338699772928213,-0.18823529748480514,0.5054753954173824,0.0003542198637942325,0.00025995132339933966,cosine,False,False
neural_resnet,drift,0.5193191111852107,-0.25440196029444945,0.34329793184125434,0.00044241238828088096,0.00022975320825935341,cosine,False,False
neural_resnet,burst,0.5741477941260283,-0.11956308729124109,0.6499764157638728,0.000600819194856328,0.0003449590153953371,cosine,False,False
neural_resnet,periodic_spike,0.08399713289997897,-0.27135593418943077,0.3020144531453224,0.002770002666039299,0.00023267228207259904,cosine,False,False
neural_attention,drift,0.2363648683377774,-0.4576707374202297,0.08700039316125817,0.004344135633571492,0.0010268010470705728,cosine,False,False
neural_attention,gaussian,0.5366128303563833,-0.3415362262156165,0.19819324784850229,0.001770611137241455,0.0009501326538156718,cosine,False,False
neural_attention,none,0.7483560460478227,-0.1716920561433054,0.5194949460512495,0.0017935505131115785,0.0013422143703792245,cosine,False,False
neural_attention,oscillatory,0.36973283251396516,-0.3265632703210794,0.21807973290600294,0.0035184909999922335,0.0013009016436020223,cosine,False,False
neural_attention,adversarial,0.25179450492317756,-0.30646829602310055,0.24535327638348006,0.004175535457109921,0.0010513768832121665,cosine,False,False
neural_attention,plateau,0.27227300227914486,-0.3857225746323029,0.14660019050118347,0.0037411168456249772,0.0010186051154353966,cosine,False,False
neural_attention,random_spike,0.3329584656872998,-0.4321736156168946,0.10595687219082443,0.0023930157817934135,0.0007967748630714292,cosine,False,False
neural_attention,periodic_spike,1.0613350375930721,0.041524442394756195,0.8805729864511569,0.001201314230850888,0.00127499688436122,cosine,False,False
neural_attention,burst,0.4470213239242924,-0.31269521539001166,0.2376332549086406,0.0024779534674811052,0.0011076980396561946,cosine,False,False
rosenbrock,none,19.71828512261024,0.6039169546718006,0.12032003982842247,1.7869446204043924,35.23548352344833,cosine_restarts,False,False
rosenbrock,oscillatory,19.170917990746414,0.6842222975930411,0.08188127266768415,1.6748058457975277,32.10756552020709,cosine,False,False
rosenbrock,burst,49.341378680509806,0.4940657812433187,0.19746918731135632,0.726035129193527,35.82357424489067,cosine,False,False
rosenbrock,adversarial,8.497113230996533,0.5561841808471839,0.1495312856972856,1.4982992774884527,12.731218614739676,cosine_restarts,False,False
rosenbrock,gaussian,17.82302234205868,0.5109289074770836,0.18323773614014083,2.782110553009746,49.585618544369936,cosine_restarts,False,False
